raw_title,url,date,updated_at,product,buy_or_sell,price
1 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,1 July 2022,Closing,RBD Palm Olein,Selling,1280
1 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,1 July 2022,Midday,RBD Palm Olein,Selling,1270
30 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,30 June 2022,Closing,RBD Palm Olein,Selling,1300
30 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,30 June 2022,Midday,RBD Palm Olein,Selling,1315
29 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,29 June 2022,Closing,RBD Palm Olein,Selling,1300
29 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,29 June 2022,Midday,RBD Palm Olein,Selling,1300
28 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,28 June 2022,Closing,RBD Palm Olein,Selling,1310
28 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,28 June 2022,Midday,RBD Palm Olein,Selling,1290
27 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,27 June 2022,Closing,RBD Palm Olein,Selling,1290
27 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,27 June 2022,Midday,RBD Palm Olein,Selling,1275
24 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,24 June 2022,Closing,RBD Palm Olein,Selling,1280
24 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,24 June 2022,Midday,RBD Palm Olein,Selling,1270
23 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,23 June 2022,Closing,RBD Palm Olein,Selling,1295
23 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,23 June 2022,Midday,RBD Palm Olein,Selling,1240
22 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,22 June 2022,Closing,RBD Palm Olein,Selling,1240
22 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,22 June 2022,Midday,RBD Palm Olein,Selling,1330
21 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,21 June 2022,Closing,RBD Palm Olein,Selling,1380
21 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,21 June 2022,Midday,RBD Palm Olein,Selling,1365
20 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,20 June 2022,Closing,RBD Palm Olein,Selling,1375
20 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,20 June 2022,Midday,RBD Palm Olein,Selling,1400
17 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,17 June 2022,Closing,RBD Palm Olein,Selling,1460
17 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,17 June 2022,Midday,RBD Palm Olein,Selling,1460
16 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,16 June 2022,Closing,RBD Palm Olein,Selling,1465
16 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,16 June 2022,Midday,RBD Palm Olein,Selling,1500
15 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,15 June 2022,Closing,RBD Palm Olein,Selling,1560
15 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,15 June 2022,Midday,RBD Palm Olein,Selling,1560
14 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,14 June 2022,Closing,RBD Palm Olein,Selling,1560
14 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,14 June 2022,Midday,RBD Palm Olein,Selling,1550
13 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,13 June 2022,Closing,RBD Palm Olein,Selling,1575
13 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,13 June 2022,Midday,RBD Palm Olein,Selling,1580
10 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,10 June 2022,Closing,RBD Palm Olein,Selling,1630
MPOB Monthly Report – May 2022,https://agropost.wordpress.com/page/5/,,2022,,,
10 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,10 June 2022,Midday,RBD Palm Olein,Selling,1660
9 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,9 June 2022,Closing,RBD Palm Olein,Selling,1660
9 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,9 June 2022,Midday,RBD Palm Olein,Selling,1675
8 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,8 June 2022,Closing,RBD Palm Olein,Selling,1685
8 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,8 June 2022,Midday,RBD Palm Olein,Selling,1675
7 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,7 June 2022,Closing,RBD Palm Olein,Selling,1710
7 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,7 June 2022,Midday,RBD Palm Olein,Selling,1690
Holiday Announcement,https://agropost.wordpress.com/page/5/,,Holiday Announcement,,,
3 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,3 June 2022,Closing,RBD Palm Olein,Selling,1695
3 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,3 June 2022,Midday,RBD Palm Olein,Selling,1690
2 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,2 June 2022,Closing,RBD Palm Olein,Selling,1695
2 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,2 June 2022,Midday,RBD Palm Olein,Selling,1695
1 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,1 June 2022,Closing,RBD Palm Olein,Selling,1690
1 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,1 June 2022,Midday,RBD Palm Olein,Selling,1680
31 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,31 May 2022,Closing,RBD Palm Olein,Selling,1690
31 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,31 May 2022,Midday,RBD Palm Olein,Selling,1710
30 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,30 May 2022,Closing,RBD Palm Olein,Selling,1710
30 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,30 May 2022,Midday,RBD Palm Olein,Selling,1695
27 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,27 May 2022,Closing,RBD Palm Olein,Selling,1750
27 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,27 May 2022,Midday,RBD Palm Olein,Selling,1775
26 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,26 May 2022,Closing,RBD Palm Olein,Selling,1770
26 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,26 May 2022,Midday,RBD Palm Olein,Selling,1720
25 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,25 May 2022,Closing,RBD Palm Olein,Selling,1730
25 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,25 May 2022,Midday,RBD Palm Olein,Selling,1745
24 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,24 May 2022,Closing,RBD Palm Olein,Selling,1780
