,date,updated_at,price
0,1 July 2022,Closing,1280.0
1,1 July 2022,Midday,1270.0
2,30 June 2022,Closing,1300.0
3,30 June 2022,Midday,1315.0
4,29 June 2022,Closing,1300.0
5,29 June 2022,Midday,1300.0
6,28 June 2022,Closing,1310.0
7,28 June 2022,Midday,1290.0
8,27 June 2022,Closing,1290.0
9,27 June 2022,Midday,1275.0
10,24 June 2022,Closing,1280.0
11,24 June 2022,Midday,1270.0
12,23 June 2022,Closing,1295.0
13,23 June 2022,Midday,1240.0
14,22 June 2022,Closing,1240.0
15,22 June 2022,Midday,1330.0
16,21 June 2022,Closing,1380.0
17,21 June 2022,Midday,1365.0
18,20 June 2022,Closing,1375.0
19,20 June 2022,Midday,1400.0
20,17 June 2022,Closing,1460.0
21,17 June 2022,Midday,1460.0
22,16 June 2022,Closing,1465.0
23,16 June 2022,Midday,1500.0
24,15 June 2022,Closing,1560.0
25,15 June 2022,Midday,1560.0
26,14 June 2022,Closing,1560.0
27,14 June 2022,Midday,1550.0
28,13 June 2022,Closing,1575.0
29,13 June 2022,Midday,1580.0
30,10 June 2022,Closing,1630.0
31,3 June 2022,Closing,1695.0
32,3 June 2022,Midday,1690.0
33,2 June 2022,Closing,1695.0
34,2 June 2022,Midday,1695.0
35,1 June 2022,Closing,1690.0
36,1 June 2022,Midday,1680.0
37,31 May 2022,Closing,1690.0
38,31 May 2022,Midday,1710.0
39,30 May 2022,Closing,1710.0
40,30 May 2022,Midday,1695.0
41,27 May 2022,Closing,1750.0
42,27 May 2022,Midday,1775.0
43,26 May 2022,Closing,1770.0
44,26 May 2022,Midday,1720.0
45,25 May 2022,Closing,1730.0
46,25 May 2022,Midday,1745.0
47,24 May 2022,Closing,1780.0
48,24 May 2022,Midday,1700.0
49,23 May 2022,Closing,1680.0
50,23 May 2022,Midday,1680.0
51,20 May 2022,Closing,1670.0
52,20 May 2022,Midday,1680.0
53,19 May 2022,Closing,1660.0
54,19 May 2022,Midday,1660.0
55,18 May 2022,Closing,1670.0
56,18 May 2022,Midday,1640.0
