DAILY PRICES,Palm olein RBD Mal FOB US$
02/01/20,790
03/01/20,790
04/01/20,
05/01/20,
06/01/20,785
07/01/20,788
08/01/20,785
09/01/20,795
10/01/20,798
11/01/20,
12/01/20,
13/01/20,793
14/01/20,780
15/01/20,770
16/01/20,765
17/01/20,758
18/01/20,
19/01/20,
20/01/20,765
21/01/20,755
22/01/20,780
23/01/20,768
24/01/20,763
25/01/20,
26/01/20,
27/01/20,
28/01/20,690
29/01/20,715
30/01/20,700
31/01/20,685
01/02/20,
02/02/20,
03/02/20,685
04/02/20,693
05/02/20,720
06/02/20,735
07/02/20,728
08/02/20,
09/02/20,
10/02/20,715
11/02/20,700
12/02/20,698
13/02/20,683
14/02/20,683
15/02/20,
16/02/20,
17/02/20,688
18/02/20,683
19/02/20,670
20/02/20,667
21/02/20,670
22/02/20,
23/02/20,
24/02/20,650
25/02/20,640
26/02/20,625
27/02/20,635
28/02/20,605
29/02/20,
01/03/20,
02/03/20,605
03/03/20,610
04/03/20,628
05/03/20,638
06/03/20,617
07/03/20,
08/03/20,
09/03/20,580
10/03/20,590
11/03/20,580
12/03/20,573
13/03/20,582
14/03/20,
15/03/20,
16/03/20,565
17/03/20,567
18/03/20,570
19/03/20,555
20/03/20,570
21/03/20,
22/03/20,
23/03/20,565
24/03/20,583
25/03/20,595
26/03/20,595
27/03/20,605
28/03/20,
29/03/20,
30/03/20,610
31/03/20,610
01/04/20,600
02/04/20,595
03/04/20,585
04/04/20,
05/04/20,
06/04/20,580
07/04/20,590
08/04/20,594
09/04/20,598
10/04/20,
11/04/20,
12/04/20,
13/04/20,578
14/04/20,570
15/04/20,575
16/04/20,572
17/04/20,563
18/04/20,
19/04/20,
20/04/20,560
21/04/20,535
22/04/20,535
23/04/20,540
24/04/20,535
25/04/20,
26/04/20,
27/04/20,525
28/04/20,520
29/04/20,528
30/04/20,538
01/05/20,
02/05/20,
03/05/20,
04/05/20,525
05/05/20,523
06/05/20,515
07/05/20,515
08/05/20,528
09/05/20,
10/05/20,
11/05/20,
12/05/20,515
13/05/20,518
14/05/20,515
15/05/20,523
16/05/20,
17/05/20,
18/05/20,532
19/05/20,538
20/05/20,530
21/05/20,
22/05/20,537
23/05/20,
24/05/20,
25/05/20,
26/05/20,
27/05/20,560
28/05/20,558
29/05/20,565
30/05/20,
31/05/20,
01/06/20,580
02/06/20,587
03/06/20,600
04/06/20,595
05/06/20,590
06/06/20,
07/06/20,
08/06/20,
09/06/20,595
10/06/20,593
11/06/20,600
12/06/20,605
13/06/20,
14/06/20,
15/06/20,600
16/06/20,610
17/06/20,608
18/06/20,610
19/06/20,640
20/06/20,
21/06/20,
22/06/20,635
23/06/20,630
24/06/20,628
25/06/20,620
26/06/20,615
27/06/20,
28/06/20,
29/06/20,605
30/06/20,600
01/07/20,600
02/07/20,603
03/07/20,600
04/07/20,
05/07/20,
06/07/20,608
07/07/20,605
08/07/20,610
09/07/20,610
10/07/20,615
11/07/20,
12/07/20,
13/07/20,620
14/07/20,630
15/07/20,635
16/07/20,638
17/07/20,663
18/07/20,
19/07/20,
20/07/20,673
21/07/20,678
22/07/20,686
23/07/20,690
24/07/20,715
25/07/20,
26/07/20,
27/07/20,700
28/07/20,675
29/07/20,688
30/07/20,690
31/07/20,
01/08/20,
02/08/20,705
03/08/20,717
04/08/20,713
05/08/20,723
06/08/20,725
07/08/20,
08/08/20,
09/08/20,715
10/08/20,710
11/08/20,715
12/08/20,723
13/08/20,710
14/08/20,
15/08/20,
16/08/20,
17/08/20,712
18/08/20,715
19/08/20,718
20/08/20,718
21/08/20,712
22/08/20,
23/08/20,
24/08/20,703
25/08/20,700
26/08/20,701
27/08/20,706
28/08/20,723
29/08/20,
30/08/20,
31/08/20,
01/09/20,733
02/09/20,733
03/09/20,753
04/09/20,740
05/09/20,
06/09/20,
07/09/20,735
08/09/20,745
09/09/20,735
10/09/20,735
11/09/20,733
12/09/20,
13/09/20,
14/09/20,748
15/09/20,760
16/09/20,
17/09/20,780
18/09/20,798
19/09/20,
20/09/20,
21/09/20,788
22/09/20,770
23/09/20,745
24/09/20,728
25/09/20,740
26/09/20,
27/09/20,
28/09/20,743
29/09/20,740
30/09/20,730
01/10/20,745
02/10/20,730
03/10/20,
04/10/20,
05/10/20,733
06/10/20,745
07/10/20,740
08/10/20,740
09/10/20,758
10/10/20,
11/10/20,
12/10/20,778
13/10/20,780
14/10/20,775
15/10/20,763
16/10/20,763
17/10/20,
18/10/20,
19/10/20,745
20/10/20,758
21/10/20,770
22/10/20,778
23/10/20,775
24/10/20,
25/10/20,
26/10/20,805
27/10/20,810
28/10/20,828
29/10/20,825
30/10/20,823
31/10/20,
01/11/20,
02/11/20,820
03/11/20,842
04/11/20,845
05/11/20,870
06/11/20,835
07/11/20,
08/11/20,
09/11/20,843
10/11/20,855
11/11/20,868
12/11/20,880
13/11/20,880
14/11/20,
15/11/20,
16/11/20,880
17/11/20,875
18/11/20,893
19/11/20,890
20/11/20,885
21/11/20,
22/11/20,
23/11/20,880
24/11/20,872
25/11/20,875
26/11/20,873
27/11/20,888
28/11/20,
29/11/20,
30/11/20,875
01/12/20,885
02/12/20,878
03/12/20,885
04/12/20,935
05/12/20,
06/12/20,
07/12/20,920
08/12/20,920
09/12/20,915
10/12/20,900
11/12/20,900
12/12/20,
13/12/20,
14/12/20,910
15/12/20,898
16/12/20,912
17/12/20,915
18/12/20,928
19/12/20,
20/12/20,
21/12/20,920
22/12/20,930
23/12/20,965
24/12/20,990
25/12/20,
26/12/20,
27/12/20,
28/12/20,983
29/12/20,975
30/12/20,993
31/12/20,995
01/01/21,
02/01/21,
03/01/21,
04/01/21,1030
05/01/21,1030
06/01/21,1040
07/01/21,1020
08/01/21,1025
09/01/21,
10/01/21,
11/01/21,1020
12/01/21,1000
13/01/21,1010
14/01/21,985
15/01/21,975
16/01/21,
17/01/21,
18/01/21,968
19/01/21,945
20/01/21,935
21/01/21,945
22/01/21,950
23/01/21,
24/01/21,
25/01/21,938
26/01/21,930
27/01/21,970
28/01/21,973
29/01/21,1020
30/01/21,
31/01/21,
01/02/21,
02/02/21,1005
03/02/21,970
04/02/21,1000
05/02/21,1005
06/02/21,
07/02/21,
08/02/21,1010
09/02/21,1025
10/02/21,1035
11/02/21,1015
12/02/21,
13/02/21,
14/02/21,
15/02/21,1050
16/02/21,1050
17/02/21,1055
18/02/21,1020
19/02/21,1020
20/02/21,
21/02/21,
22/02/21,1025
23/02/21,1030
24/02/21,1025
25/02/21,1043
26/02/21,1030
27/02/21,
28/02/21,
01/03/21,1020
02/03/21,1005
03/03/21,1005
04/03/21,1010
05/03/21,1020
06/03/21,
07/03/21,
08/03/21,1035
09/03/21,1030
10/03/21,1045
11/03/21,1060
12/03/21,1080
13/03/21,
14/03/21,
15/03/21,1085
16/03/21,1065
17/03/21,1070
18/03/21,1055
19/03/21,1040
