date,updated_at,price
29 June 2022,Closing,1300
29 June 2022,Midday,1300
28 June 2022,Closing,1310
28 June 2022,Midday,1290
27 June 2022,Closing,1290
27 June 2022,Midday,1275
24 June 2022,Closing,1280
24 June 2022,Midday,1270
23 June 2022,Closing,1295
23 June 2022,Midday,1240
22 June 2022,Closing,1240
22 June 2022,Midday,1330
21 June 2022,Closing,1380
21 June 2022,Midday,1365
20 June 2022,Closing,1375
20 June 2022,Midday,1400
17 June 2022,Closing,1460
17 June 2022,Midday,1460
16 June 2022,Closing,1465
16 June 2022,Midday,1500
15 June 2022,Closing,1560
15 June 2022,Midday,1560
14 June 2022,Closing,1560
14 June 2022,Midday,1550
13 June 2022,Closing,1575
13 June 2022,Midday,1580
10 June 2022,Closing,1630
10 June 2022,Closing,1630
10 June 2022,Midday,1660
9 June 2022,Closing,1660
9 June 2022,Midday,1675
8 June 2022,Closing,1685
8 June 2022,Midday,1675
7 June 2022,Closing,1710
7 June 2022,Midday,1690
7 June 2022,Midday,1690
3 June 2022,Closing,1695
3 June 2022,Midday,1690
2 June 2022,Closing,1695
2 June 2022,Midday,1695
1 June 2022,Closing,1690
1 June 2022,Midday,1680
31 May 2022,Closing,1690
31 May 2022,Midday,1710
30 May 2022,Closing,1710
30 May 2022,Midday,1695
27 May 2022,Closing,1750
27 May 2022,Midday,1775
26 May 2022,Closing,1770
26 May 2022,Midday,1720
25 May 2022,Closing,1730
25 May 2022,Midday,1745
24 May 2022,Closing,1780
24 May 2022,Midday,1700
23 May 2022,Closing,1680
23 May 2022,Midday,1680
20 May 2022,Closing,1670
20 May 2022,Midday,1680
19 May 2022,Closing,1660
19 May 2022,Midday,1660
18 May 2022,Closing,1670
18 May 2022,Midday,1640
17 May 2022,Closing,1640
17 May 2022,Midday,1620
17 May 2022,Midday,1620
13 May 2022,Closing,1710
13 May 2022,Midday,1710
12 May 2022,Closing,1700
12 May 2022,Midday,1680
11 May 2022,Closing,1725
11 May 2022,Midday,1700
10 May 2022,Closing,1700
10 May 2022,Closing,1700
10 May 2022,Midday,1710
9 May 2022,Closing,1740
9 May 2022,Midday,1745
6 May 2022,Closing,1760
6 May 2022,Midday,1780
5 May 2022,Closing,1820
5 May 2022,Midday,1830
25 April 2022,Midday,1830
22 April 2022,Closing,1700
22 April 2022,Midday,1675
21 April 2022,Closing,1680
21 April 2022,Midday,1685
20 April 2022,Closing,1680
20 April 2022,Midday,1695
18 April 2022,Closing,1710
18 April 2022,Midday,1710
15 April 2022,Closing,1700
15 April 2022,Midday,1700
14 April 2022,Closing,1700
14 April 2022,Midday,1710
13 April 2022,Closing,1680
13 April 2022,Midday,1680
12 April 2022,Closing,1680
12 April 2022,Midday,1670
11 April 2022,Closing,1640
11 April 2022,Closing,1640
11 April 2022,Midday,1660
8 April 2022,Closing,1630
8 April 2022,Midday,1630
7 April 2022,Closing,1650
7 April 2022,Midday,1650
6 April 2022,Closing,1670
6 April 2022,Midday,1670
5 April 2022,Closing,1670
5 April 2022,Midday,1645
4 April 2022,Closing,1640
4 April 2022,Midday,1660
1 April 2022,Closing,1650
1 April 2022,Midday,1650
31 March 2022,Closing,1685
31 March 2022,Midday,1690
30 March 2022,Closing,1705
30 March 2022,Midday,1700
29 March 2022,Closing,1700
29 March 2022,Midday,1710
28 March 2022,Closing,1710
28 March 2022,Midday,1710
25 March 2022,Closing, 
25 March 2022,Midday, 
24 March 2022,Closing, 
24 March 2022,Midday, 
23 March 2022,Closing, 
23 March 2022,Midday, 
22 March 2022,Closing, 
22 March 2022,Midday, 
21 March 2022,Closing, 
21 March 2022,Midday, 
18 March 2022,Closing, 
18 March 2022,Midday, 
17 March 2022,Closing, 
17 March 2022,Midday,1765
16 March 2022,Closing,1785
16 March 2022,Midday,1775
15 March 2022,Closing,1765
15 March 2022,Midday,1760
14 March 2022,Closing,1810
14 March 2022,Midday,1785
11 March 2022,Closing,1915
11 March 2022,Midday,1920
10 March 2022,Closing,1920
10 March 2022,Closing,1920
10 March 2022,Midday,1927.5
9 March 2022,Closing,1955
9 March 2022,Midday,1785
8 March 2022,Closing,1780
8 March 2022,Midday,1810
7 March 2022,Closing,1820
7 March 2022,Midday,1800
4 March 2022,Closing,1760
4 March 2022,Midday,1780
3 March 2022,Closing,1900
3 March 2022,Midday,1970
2 March 2022,Closing,1930
2 March 2022,Midday,2050
1 March 2022,Midday,1920
28 February 2022,Closing,1830
28 February 2022,Midday,1730
25 February 2022,Closing,1685
25 February 2022,Midday,1715
24 February 2022,Closing,1745
24 February 2022,Midday,1700
23 February 2022,Closing,1642.5
23 February 2022,Midday,1642.5
22 February 2022,Closing,1620
22 February 2022,Midday,1605
21 February 2022,Closing,1570
21 February 2022,Midday,1570
18 February 2022,Closing,1550
18 February 2022,Midday,1555
17 February 2022,Closing,1545
17 February 2022,Midday,1535
16 February 2022,Closing,1525
16 February 2022,Midday,1525
15 February 2022,Closing,1517.5
15 February 2022,Midday,1510
14 February 2022,Closing,1510
14 February 2022,Midday,1495
11 February 2022,Closing,1480
11 February 2022,Midday,1475
11 February 2022,Midday,1475
10 February 2022,Closing,1465
10 February 2022,Midday,1460
9 February 2022,Closing,1465
9 February 2022,Midday,1425
8 February 2022,Closing,1430
8 February 2022,Midday,1430
7 February 2022,Closing,1465
7 February 2022,Midday,1480
4 February 2022,Midday,1475
4 February 2022,Midday,1475
31 January 2022,Midday,1485
28 January 2022,Closing,1460
28 January 2022,Midday,1430
27 January 2022,Closing,1425
27 January 2022,Midday,1405
26 January 2022,Closing,1382.5
26 January 2022,Midday,1375
25 January 2022,Closing,1375
25 January 2022,Midday,1370
24 January 2022,Closing,1370
24 January 2022,Midday,1387.5
21 January 2022,Closing,1382.5
21 January 2022,Midday,1370
20 January 2022,Closing,1370
20 January 2022,Midday,1370
17 January 2022,Closing,1340
17 January 2022,Midday,1335
14 January 2022,Closing,1335
14 January 2022,Midday,1320
13 January 2022,Closing,1345
13 January 2022,Midday,1342.5
12 January 2022,Closing,1315
12 January 2022,Midday,1335
11 January 2022,Closing,1330
11 January 2022,Midday,1325
10 January 2022,Closing,1325
10 January 2022,Closing,1325
10 January 2022,Midday,1320
7 January 2022,Closing,1310
7 January 2022,Midday,1307.5
6 January 2022,Closing,1320
6 January 2022,Midday,1310
5 January 2022,Closing,1340
5 January 2022,Midday,1335
4 January 2022,Closing,1315
4 January 2022,Midday,1315
3 January 2022,Midday,1320
31 December 2021,Closing,1285
31 December 2021,Midday,1287.5
30 December 2021,Closing,1282.5
30 December 2021,Midday,1290
29 December 2021,Closing,1290
29 December 2021,Middday,1300
28 December 2021,Closing,1310
28 December 2021,Midday,1275
27 December 2021,Closing,1275
27 December 2021,Midday,1285
24 December 2021,Midday,1280
23 December 2021,Closing,1250
23 December 2021,Midday,1245
22 December 2021,Closing,1242.5
22 December 2021,Midday,1245
21 December 2021,Closing,1225
21 December 2021,Midday,1225
20 December 2021,Closing,1205
20 December 2021,Midday,1215
17 December 2021,Midday,1245
16 December 2021,Closing,1220
16 December 2021,Midday,1240
15 December 2021,Closing,1230
15 December 2021,Midday,1230
14 December 2021,Closing,1290
13 December 2021,Closing,1310
13 December 2021,Midday,1320
10 December 2021,Closing,1310
10 December 2021,Closing,1310
10 December 2021,Midday,1310
9 December 2021,Closing,1305
9 December 2021,Midday,1330
8 December 2021,Closing,1320
8 December 2021,Midday,1327.5
