,date,price
0,3 June 2022,1695.0
1,3 June 2022,1690.0
2,2 June 2022,1695.0
3,2 June 2022,1695.0
4,1 June 2022,1690.0
5,1 June 2022,1680.0
6,31 May 2022,1690.0
7,31 May 2022,1710.0
8,30 May 2022,1710.0
9,30 May 2022,1695.0
10,27 May 2022,1750.0
11,27 May 2022,1775.0
12,26 May 2022,1770.0
13,26 May 2022,1720.0
14,25 May 2022,1730.0
15,25 May 2022,1745.0
16,24 May 2022,1780.0
17,24 May 2022,1700.0
18,23 May 2022,1680.0
19,23 May 2022,1680.0
20,20 May 2022,1670.0
21,20 May 2022,1680.0
22,19 May 2022,1660.0
23,19 May 2022,1660.0
24,18 May 2022,1670.0
25,18 May 2022,1640.0
26,17 May 2022,1640.0
27,17 May 2022,1620.0
28,HOLIDAY ANNOUNCEMENT,1710.0
29,13 May 2022,1710.0
30,13 May 2022,1700.0
31,12 May 2022,1680.0
32,12 May 2022,1725.0
33,11 May 2022,1700.0
34,11 May 2022,1700.0
35,10 May 2022,1710.0
36,MPOB Monthly Report,1740.0
37,10 May 2022,1745.0
38,9 May 2022,1760.0
39,9 May 2022,1780.0
40,6 May 2022,1820.0
41,6 May 2022,1830.0
42,5 May 2022,1930.0
43,5 May 2022,1870.0
44,Eid Ul Fitr Holiday Notice,1860.0
45,29 April 2022,1845.0
46,29 April 2022,1860.0
47,28 April 2022,1770.0
48,28 April 2022,1760.0
49,27 April 2022,1760.0
50,27 April 2022,1740.0
51,26 April 2022,1830.0
52,26 April 2022,1700.0
53,25 April 2022,1675.0
54,25 April 2022,1710.0
55,22 April 2022,1700.0
56,22 April 2022,1700.0
57,21 April 2022,1700.0
58,21 April 2022,1710.0
59,20 April 2022,1680.0
60,20 April 2022,1680.0
61,18 April 2022,1680.0
62,18 April 2022,1670.0
63,15 April 2022,1640.0
64,15 April 2022,1660.0
65,14 April 2022,1630.0
66,14 April 2022,1630.0
67,13 April 2022,1650.0
68,13 April 2022,1650.0
69,12 April 2022,1670.0
70,12 April 2022,1670.0
71,11 April 2022,1670.0
72,MPOB Monthly Report,1645.0
73,11 April 2022,1640.0
74,8 April 2022,1660.0
75,8 April 2022,1650.0
76,7 April 2022,1650.0
77,7 April 2022,1685.0
78,6 April 2022,1690.0
79,6 April 2022,1705.0
80,5 April 2022,1700.0
81,5 April 2022,1700.0
82,4 April 2022,1710.0
83,4 April 2022,1710.0
84,1 April 2022,1710.0
85,1 April 2022,
86,31 March 2022,
87,31 March 2022,
88,30 March 2022,
89,30 March 2022,
90,29 March 2022,
91,29 March 2022,
92,28 March 2022,
93,28 March 2022,
94,25 March 2022,
95,25 March 2022,
96,24 March 2022,
97,24 March 2022,
98,23 March 2022,
