raw_title,url,date,updated_at,product,buy_or_sell,price
19 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,19 July 2022,Closing,RBD Palm Olein,Selling, 
19 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,19 July 2022,Midday,RBD Palm Olein,Selling, 
18 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,18 July 2022,Closing,RBD Palm Olein,Selling, 
18 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,18 July 2022,Midday,RBD Palm Olein,Selling, 
15 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,15 July 2022,Closing,RBD Palm Olein,Selling,1000
15 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,15 July 2022,Midday,RBD Palm Olein,Selling,1015
14 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,14 July 2022,Closing,RBD Palm Olein,Selling,1015
14 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,14 July 2022,Midday,RBD Palm Olein,Selling,1060
13 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/2/,13 July 2022,Closing,RBD Palm Olein,Selling,1037.5
13 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/2/,13 July 2022,Midday,RBD Palm Olein,Selling,1075
12 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,12 July 2022,Closing,RBD Palm Olein,Selling,1115
MPOB MONTHLY REPORT – JUNE 2022,https://agropost.wordpress.com/page/3/,,2022,,,
12 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,12 July 2022,Midday,RBD Palm Olein,Selling,1130
11 July 2022 – HOLIDAY NOTICE – NO MARKET,https://agropost.wordpress.com/page/3/,11 July 2022,MARKET,,,
8 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,8 July 2022,Closing,RBD Palm Olein,Selling,1110
8 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,8 July 2022,Midday,RBD Palm Olein,Selling,1120
7 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,7 July 2022,Closing,RBD Palm Olein,Selling,1120
7 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,7 July 2022,Midday,RBD Palm Olein,Selling,1120
6 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/3/,6 July 2022,Closing,RBD Palm Olein,Selling,1085
6 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/3/,6 July 2022,Midday,RBD Palm Olein,Selling,1065
5 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,5 July 2022,Closing,RBD Palm Olein,Selling,1180
5 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,5 July 2022,Midday,RBD Palm Olein,Selling,1200
4 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,4 July 2022,Closing,RBD Palm Olein,Selling,1240
4 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,4 July 2022,Midday,RBD Palm Olein,Selling,1280
1 July 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,1 July 2022,Closing,RBD Palm Olein,Selling,1280
1 July 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,1 July 2022,Midday,RBD Palm Olein,Selling,1270
30 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,30 June 2022,Closing,RBD Palm Olein,Selling,1300
30 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,30 June 2022,Midday,RBD Palm Olein,Selling,1315
29 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/4/,29 June 2022,Closing,RBD Palm Olein,Selling,1300
29 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/4/,29 June 2022,Midday,RBD Palm Olein,Selling,1300
28 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,28 June 2022,Closing,RBD Palm Olein,Selling,1310
28 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,28 June 2022,Midday,RBD Palm Olein,Selling,1290
27 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,27 June 2022,Closing,RBD Palm Olein,Selling,1290
27 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,27 June 2022,Midday,RBD Palm Olein,Selling,1275
24 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,24 June 2022,Closing,RBD Palm Olein,Selling,1280
24 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,24 June 2022,Midday,RBD Palm Olein,Selling,1270
23 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,23 June 2022,Closing,RBD Palm Olein,Selling,1295
23 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,23 June 2022,Midday,RBD Palm Olein,Selling,1240
22 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/5/,22 June 2022,Closing,RBD Palm Olein,Selling,1240
22 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/5/,22 June 2022,Midday,RBD Palm Olein,Selling,1330
21 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,21 June 2022,Closing,RBD Palm Olein,Selling,1380
21 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,21 June 2022,Midday,RBD Palm Olein,Selling,1365
20 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,20 June 2022,Closing,RBD Palm Olein,Selling,1375
20 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,20 June 2022,Midday,RBD Palm Olein,Selling,1400
17 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,17 June 2022,Closing,RBD Palm Olein,Selling,1460
17 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,17 June 2022,Midday,RBD Palm Olein,Selling,1460
16 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,16 June 2022,Closing,RBD Palm Olein,Selling,1465
16 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,16 June 2022,Midday,RBD Palm Olein,Selling,1500
15 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/6/,15 June 2022,Closing,RBD Palm Olein,Selling,1560
15 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/6/,15 June 2022,Midday,RBD Palm Olein,Selling,1560
14 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,14 June 2022,Closing,RBD Palm Olein,Selling,1560
14 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,14 June 2022,Midday,RBD Palm Olein,Selling,1550
13 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,13 June 2022,Closing,RBD Palm Olein,Selling,1575
13 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,13 June 2022,Midday,RBD Palm Olein,Selling,1580
10 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,10 June 2022,Closing,RBD Palm Olein,Selling,1630
MPOB Monthly Report – May 2022,https://agropost.wordpress.com/page/7/,,2022,,,
10 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,10 June 2022,Midday,RBD Palm Olein,Selling,1660
9 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,9 June 2022,Closing,RBD Palm Olein,Selling,1660
9 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/7/,9 June 2022,Midday,RBD Palm Olein,Selling,1675
8 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/7/,8 June 2022,Closing,RBD Palm Olein,Selling,1685
8 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/8/,8 June 2022,Midday,RBD Palm Olein,Selling,1675
7 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/8/,7 June 2022,Closing,RBD Palm Olein,Selling,1710
7 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/8/,7 June 2022,Midday,RBD Palm Olein,Selling,1690
Holiday Announcement,https://agropost.wordpress.com/page/8/,,Holiday Announcement,,,
3 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/8/,3 June 2022,Closing,RBD Palm Olein,Selling,1695
3 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/8/,3 June 2022,Midday,RBD Palm Olein,Selling,1690
2 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/8/,2 June 2022,Closing,RBD Palm Olein,Selling,1695
2 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/8/,2 June 2022,Midday,RBD Palm Olein,Selling,1695
1 June 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/8/,1 June 2022,Closing,RBD Palm Olein,Selling,1690
1 June 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/8/,1 June 2022,Midday,RBD Palm Olein,Selling,1680
31 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/9/,31 May 2022,Closing,RBD Palm Olein,Selling,1690
31 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/9/,31 May 2022,Midday,RBD Palm Olein,Selling,1710
30 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/9/,30 May 2022,Closing,RBD Palm Olein,Selling,1710
30 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/9/,30 May 2022,Midday,RBD Palm Olein,Selling,1695
27 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/9/,27 May 2022,Closing,RBD Palm Olein,Selling,1750
27 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/9/,27 May 2022,Midday,RBD Palm Olein,Selling,1775
26 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/9/,26 May 2022,Closing,RBD Palm Olein,Selling,1770
26 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/9/,26 May 2022,Midday,RBD Palm Olein,Selling,1720
25 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/9/,25 May 2022,Closing,RBD Palm Olein,Selling,1730
25 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/9/,25 May 2022,Midday,RBD Palm Olein,Selling,1745
24 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/10/,24 May 2022,Closing,RBD Palm Olein,Selling,1780
24 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/10/,24 May 2022,Midday,RBD Palm Olein,Selling,1700
23 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/10/,23 May 2022,Closing,RBD Palm Olein,Selling,1680
23 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/10/,23 May 2022,Midday,RBD Palm Olein,Selling,1680
20 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/10/,20 May 2022,Closing,RBD Palm Olein,Selling,1670
20 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/10/,20 May 2022,Midday,RBD Palm Olein,Selling,1680
19 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/10/,19 May 2022,Closing,RBD Palm Olein,Selling,1660
19 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/10/,19 May 2022,Midday,RBD Palm Olein,Selling,1660
18 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/10/,18 May 2022,Closing,RBD Palm Olein,Selling,1670
18 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/10/,18 May 2022,Midday,RBD Palm Olein,Selling,1640
17 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/11/,17 May 2022,Closing,RBD Palm Olein,Selling,1640
17 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/11/,17 May 2022,Midday,RBD Palm Olein,Selling,1620
HOLIDAY ANNOUNCEMENT – VESAK DAY,https://agropost.wordpress.com/page/11/,,DAY,,,
13 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/11/,13 May 2022,Closing,RBD Palm Olein,Selling,1710
13 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/11/,13 May 2022,Midday,RBD Palm Olein,Selling,1710
12 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/11/,12 May 2022,Closing,RBD Palm Olein,Selling,1700
12 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/11/,12 May 2022,Midday,RBD Palm Olein,Selling,1680
11 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/11/,11 May 2022,Closing,RBD Palm Olein,Selling,1725
11 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/11/,11 May 2022,Midday,RBD Palm Olein,Selling,1700
10 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/11/,10 May 2022,Closing,RBD Palm Olein,Selling,1700
MPOB Monthly Report – April 2022,https://agropost.wordpress.com/page/12/,,2022,,,
10 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/12/,10 May 2022,Midday,RBD Palm Olein,Selling,1710
9 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/12/,9 May 2022,Closing,RBD Palm Olein,Selling,1740
9 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/12/,9 May 2022,Midday,RBD Palm Olein,Selling,1745
6 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/12/,6 May 2022,Closing,RBD Palm Olein,Selling,1760
6 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/12/,6 May 2022,Midday,RBD Palm Olein,Selling,1780
5 May 2022 – Palm Oil Market Closing,https://agropost.wordpress.com/page/12/,5 May 2022,Closing,RBD Palm Olein,Selling,1820
5 May 2022 – Palm Oil Market Midday,https://agropost.wordpress.com/page/12/,5 May 2022,Midday,RBD Palm Olein,Selling,1830
Eid Ul Fitr Holiday Notice,https://agropost.wordpress.com/page/12/,,Notice,,,
